Project Name,Modified,Active,Launch Date,Launch status,Other comments,Pipeline,BU,Company,Category,Brand,Exp Rev 2026 (M AED),Exp.Rev. 24 months (M AED),Product code,Code creation date,Target Project Monthly Net Sales (NR) (M AED),Actuals Monthly Net Sales (NR) (M AED),Target Project Monthly Net Sales (Volume),Actuals Monthly Net Sales (Volume),Project Month Target GP (M AED),Actuals Month GP (M AED),Project Month Target NP (M AED),Actuals Month NP (M AED),YTD Target Project Net Sales (NR) (M AED),YTD Actuals Net Sales (NR) (M AED),YTD Target Project Sales (Volume),YTD Actuals Sales (Volume),YTD Project Target GP (M AED),YTD Actuals GP (M AED),YTD Project Target NP (M AED),YTD Actuals NP (M AED),Modified By
Buffalo Wings and Rings Plain Beef Julian,06-10-2026 00:12,True,03-10-2026,True,,Pipeline 2026,Protein & Frozen,Nabil,Beef product,Nabil,0.0,0.0,FGF12472,,0.0,0.02,,,,,,,0.0,0.05,,,,,,,Mo’men Mafalha
Chili Lime Breaded Chicken Chunks,06-10-2026 04:40,True,09-01-2025,True,,Pipeline 2025,Protein & Frozen,Atyab,Breaded,Atyab,0.0,0.0,11429,,0.0,0.02,,0.86,,,,,0.0,0.08,,4.3,,,,,Maged Galal
Hot Honey Breaded Chicken Chunks,06-10-2026 05:17,True,09-01-2025,True,,Pipeline 2025,Protein & Frozen,Atyab,Breaded,Atyab,0.0,0.0,11431,,0.0,0.02,,1.17,,,,,0.0,0.11,,5.61,,,,,Maged Galal
Alice - Beef burger 150 g,06-10-2026 00:12,True,01-06-2026,True,,Pipeline 2026,Protein & Frozen,Nabil,Beef product,QSR Private Label Key Account,0.04,0.0,FGF12496,,0.0,0.02,,,,,,,0.0,0.05,,,,,,,Mo’men Mafalha
Chapatti spicy Crunchy patty 1.1 Kg,06-10-2026 00:12,True,1/28/2025,True,SKU Cancelled,Pipeline 2025,Protein & Frozen,Nabil,Breaded,Nabil,0.03,0.0,FGF12427,1/28/2025,0.0,0.01,,,,,,,0.0,0.06,,,,,,,Mo’men Mafalha
Nabil Crispy Chicken Chunk with Jalapeno 750 gm,06-10-2026 00:12,True,06-11-2024,True,,2023 + 2024,Protein & Frozen,Nabil,Breaded,Nabil,0.17,0.0,FGF12311,05-11-2023,0.16,0.01,,,,,,,0.01,0.05,,,,,,,Mo’men Mafalha
Nabil mild spicy crunchy patty 1.1 Kg,06-10-2026 00:12,True,1/13/2025,True,,Pipeline 2025,Protein & Frozen,Nabil,Breaded,Nabil,0.28,0.0,FGF12420,1/13/2025,0.01,0.01,,,,,,,0.0,0.1,,,,,,,Mo’men Mafalha
Nabil tempura chicken escalope 900 gm,06-10-2026 00:12,True,1/29/2025,True,,Pipeline 2025,Protein & Frozen,Nabil,Breaded,Nabil,0.28,0.0,FGF12409,10/29/2024,0.03,0.01,,,,,,,0.03,0.05,,,,,,,Mo’men Mafalha
25-19 Al Mona Restaurant Management Roast Chicken Patty Oval,06-10-2026 00:12,True,7/15/2025,True,,Pipeline 2025,Protein & Frozen,Nabil,Chicken product,Nabil,0.05,0.0,FGF12463,6/22/2025,0.0,0.01,,,,,,,0.0,0.03,,,,,,,Mo’men Mafalha
Fortified Nuggets,06-09-2026 01:12,True,12/31/2025,True,,Pipeline 2025,Protein & Frozen,Nabil,Breaded,Nabil,0.05,0.0,,12/31/2025,0.0,0.0,,,,,,,0.0,0.0,,,,,,,Osama Abu Laila
Cheddar Balls 1 kg,06-09-2026 01:12,True,12/31/2025,True,There are no sales recorded yet for this item.,Pipeline 2025,Protein & Frozen,Nabil,Breaded,Nabil,0.07,0.0,FGF12357,12/31/2025,0.0,0.0,,,,,,,0.0,0.0,,,,,,,Osama Abu Laila
Cheesy Strips,06-09-2026 01:12,True,12/31/2025,True,There are no sales recorded yet for this item.,Pipeline 2025,Protein & Frozen,Nabil,Breaded,Nabil,0.05,0.0,FGF12328,12/31/2025,0.0,0.0,,,,,,,0.0,0.0,,,,,,,Osama Abu Laila
Premium Escalope,06-09-2026 01:12,True,12/31/2025,True,,Pipeline 2025,Protein & Frozen,Nabil,Breaded,Nabil,0.0,0.0,,12/31/2025,0.0,0.0,,,,,,,0.0,0.0,,,,,,,Osama Abu Laila
Premium Chunks,06-09-2026 01:13,True,12/31/2025,True,,Pipeline 2025,Protein & Frozen,Nabil,Breaded,Nabil,0.0,0.0,,12/31/2025,0.0,0.0,,,,,,,0.0,0.0,,,,,,,Osama Abu Laila
