Month,Qtr,Year,Date,Code,Description,Channel,Sales Qty,Gross Sales,Normal Discount,Brand,Category,Sub Category,Channel Group,Sales Category,Factory,Brand Group,Qty Ton,Gross Rebates,Net Rebates,Total Rebates,Total Discount,NSV,RM,PK,Other RM,Other,Material,DL,MOH,SC,MOH Total,GP,Sales,Distribution,G&A,A&P,Sales Promotion,Tax,Interest,Provision,Other Gain,Sales Bouns,G&A Bouns,Distribution Bouns,DL Bouns,SC Bouns,R&D,R&D Bonus,Export,Export Bonus,YTD/YTG,xx,Report,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71
Jan,Q1,2023,2023-01-31 00:00:00,11101,بانية 400 جم عادى,"AGENTS, DISTRIBUTORS",3557.9999999999995,578175,-57457.399999999994,Atyab,Atyab Chicken,Pane,Distributors,Chicken,Chicken,Main Brand,3.5579999999999994,-11563.5,-8613.511382746156,-20177.011382746154,-77634.41138274616,500540.5886172538,-170279.24109397028,-40664.382000000005,-69082.88680662899,0,-280026.50990059925,-7064.775258130828,-20571.828517531478,-4334.856812299658,-27636.603775662305,188542.6181286926,-42031.79201109547,-1170.6577430604675,-13840.611612284321,0,-7191.270582879335,-13226.203534767476,-1704.779800798225,0,-1747.2750493652297,-1340.0371544442473,-958.7898940349911,0,-772.1267551017522,-354.95585276595966,0,0,0,0,YTD,,1.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5263.719866684991,-4.090207222914614,,-5267.810073907924
Jan,Q1,2023,2023-01-31 00:00:00,11101,بانية 400 جم عادى,CATERING,1203.2000000000003,195520,-23314.20000000001,Atyab,Atyab Chicken,Pane,HORECA,Chicken,Chicken,Main Brand,1.2032000000000003,-7820.8,-2912.8096952558103,-10733.609695255811,-34047.809695255826,161472.19030474417,-57582.90693767991,-13751.372800000006,-23361.58780374818,0,-94695.8675414281,-2389.0774566000605,-6956.72402256714,-1465.9077337152753,-9345.801479167201,55964.61355043359,-14213.786438378324,-395.8784138421457,-4680.445163547075,0,-2431.854065576283,-4472.672313949473,-576.5011400563305,0,-590.8716524441385,-453.15702760745313,-324.2315909226817,0,-261.1081820512727,-120.0345368319288,0,0,0,0,YTD,,1.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1780.0190397963424,-1.38317519129032,,-1781.40221498764
Jan,Q1,2023,2023-01-31 00:00:00,11101,بانية 400 جم عادى,CHAINS,2356.4,382949,-39629.95000000002,Atyab,Atyab Chicken,Pane,Chains,Chicken,Chicken,Main Brand,2.3564000000000003,-30635.920000000002,-5705.081628419176,-36341.00162841918,-75970.95162841919,306978.0483715808,-112772.9071708352,-26931.295600000005,-45752.36494410921,0,-185456.56771494442,-4678.8747662336955,-13624.355457760312,-2870.898423974962,-18303.230223994007,100347.3520086674,-27839.378594468806,-775.3746046564845,-9167.204352164428,0,-4763.073253674162,-8760.25669984982,-1129.1455354103507,0,-1157.2918802773647,-887.5615311233969,-635.0458444775471,0,-511.41119685123175,-235.10180976498722,0,0,0,0,YTD,,1.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3486.067873484126,-2.708871360336161,,-3488.77674484445
Jan,Q1,2023,2023-01-31 00:00:00,11101,بانية 400 جم عادى,FAC SALES,1.6,260,-31.2,Atyab,Atyab Chicken,Pane,Retail,Chicken,Chicken,Main Brand,0.0016,0,-3.8734171479465562,-3.8734171479465562,-35.07341714794656,224.92658285205346,-76.5730145447871,-18.286400000000004,-31.065941228388535,0,-125.92535577317564,-3.176964702925612,-9.25096279596694,-1.9493453905788234,-12.42792749889255,84.62395418940643,-18.901311753162663,-0.5264340609603001,-6.223996228121111,0,-3.2338484914578234,-5.947702545145575,-0.7666238564578866,0,-0.7857335803778436,-0.60260243032906,-0.43115903048228943,0,-0.3472183271958414,-0.15962039472330958,0,0,0,0,YTD,,1.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.367046595473858,-0.0018393287118223522,,-2.3688859241856903
Jan,Q1,2023,2023-01-31 00:00:00,11101,بانية 400 جم عادى,HM,2051.599999999999,333614.5,-21903.219999999998,Atyab,Atyab Chicken,Pane,Hyber Markets,Chicken,Chicken,Main Brand,2.051599999999999,-26689.16,-4970.108173475448,-31659.268173475448,-53562.488173475445,280052.01182652457,-98185.7479000532,-23447.736399999994,-39834.303140101176,0,-161467.78744015438,-4073.6629903263643,-11862.047045128604,-2499.548127069695,-15935.710035454968,100148.96622384552,-24252.891037982637,-675.4847539624617,-7986.213037101964,0,-4149.456721359446,-7631.691579797957,-983.6801329241138,0,-1008.200444426785,-773.2188788192854,-553.2342475955144,0,-445.52718699337316,-204.8141468285368,0,0,0,0,YTD,,1.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3035.1454970463546,-2.358479240734141,,-3037.503976287102
Jan,Q1,2023,2023-01-31 00:00:00,11101,بانية 400 جم عادى,LG,3072.400000000003,499265,-52053.24000000003,Atyab,Atyab Chicken,Pane,Large Grocery,Chicken,Chicken,Main Brand,3.0724000000000027,-14977.949999999999,-7437.929278344375,-22415.879278344375,-74469.1192783444,424795.8807216556,-147039.33117962757,-35114.45960000004,-59654.37364381314,0,-241808.16442344073,-6100.566470792911,-17764.161308955532,-3743.2304862589885,-23864.727779748442,155379.75803220744,-36295.2438940106,-1010.8850055590163,-11951.628757049564,0,-6209.797565721886,-11421.075812315792,-1472.1094603632564,0,-1508.8049077205542,-1157.1473168393775,-827.9331282836163,0,-666.7459927978144,-306.51106296743524,0,0,0,0,YTD,,1.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4545.321224958681,-3.5319709588766273,,-4548.85319591756
Jan,Q1,2023,2023-01-31 00:00:00,11101,بانية 400 جم عادى,OTHER_ACS,147.20000000000002,23920,0,Atyab,Atyab Chicken,Pane,Wholesale,Chicken,Chicken,Main Brand,0.14720000000000003,0,-356.3543776110832,-356.3543776110832,-356.3543776110832,23563.645622388918,-7044.717338120414,-1682.3488000000004,-2858.066593011745,0,-11585.132731132158,-292.2807526691563,-851.0885772289586,-179.33977593325176,-1143.3693298981148,10655.803785425394,-1738.9206812909651,-48.43193360834761,-572.6076529871422,0,-297.51406121411975,-547.188634153393,-70.52939479412557,0,-72.28748939476161,-55.43942359027352,-39.666630804370634,0,-31.944086102017405,-14.685076314544482,0,0,0,0,YTD,,1.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-217.76828678359504,-0.1692182414876413,,-217.93750502508192
Jan,Q1,2023,2023-01-31 00:00:00,11101,بانية 400 جم عادى,REGIONS,233.99999999999994,38390.5,-4114.67,Atyab,Atyab Chicken,Pane,Distributors,Chicken,Chicken,Main Brand,0.23399999999999993,-767.8100000000001,-571.932388531701,-1339.7423885317012,-5454.412388531701,32936.0876114683,-11198.80337717511,-2674.386,-4543.393904651822,0,-18416.583281826934,-464.6310878028706,-1352.9533089101644,-285.0917633721528,-1817.584396713035,12416.828169556176,-2790.8877263838126,-77.73102622037078,-919.008950752629,0,-477.4963865819676,-878.212594459274,-113.19643523594804,0,-116.01809622113694,-88.97772539056838,-63.66311830665512,0,-51.26878919312288,-23.568872167789294,0,0,0,0,YTD,,1.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-346.18056458805165,-0.2690018241040093,,-346.44956641215686
Jan,Q1,2023,2023-01-31 00:00:00,11101,بانية 400 جم عادى,RESTAURANTS,1.6,260,0,Atyab,Atyab Chicken,Pane,HORECA,Chicken,Chicken,Main Brand,0.0016,0,-3.8734171479465562,-3.8734171479465562,-3.8734171479465562,256.12658285205345,-76.5730145447871,-18.286400000000004,-31.065941228388535,0,-125.92535577317564,-3.176964702925612,-9.25096279596694,-1.9493453905788234,-12.42792749889255,115.82395418940644,-18.901311753162663,-0.5264340609603001,-6.223996228121111,0,-3.2338484914578234,-5.947702545145575,-0.7666238564578866,0,-0.7857335803778436,-0.60260243032906,-0.43115903048228943,0,-0.3472183271958414,-0.15962039472330958,0,0,0,0,YTD,,1.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.367046595473858,-0.0018393287118223522,,-2.3688859241856903
Jan,Q1,2023,2023-01-31 00:00:00,11101,بانية 400 جم عادى,RETAILS,6221.200000000026,1010970.5,-8852.55,Atyab,Atyab Chicken,Pane,Retail,Chicken,Chicken,Main Brand,6.221200000000026,-20219.41,-15061.19411833886,-35280.60411833886,-44133.15411833886,966837.3458816612,-297735.02380376967,-71102.09480000031,-120792.14598128223,0,-489629.2645850522,-12352.833006150562,-35970.056091418606,-7579.542214918141,-48322.88909756917,421305.6499841217,-73494.8792067336,-2046.958868561789,-24201.063764391205,0,-12574.328562820621,-23126.73775352729,-2980.900397981376,0,-3055.205656236072,-2343.128001119173,-1676.4963870238284,0,-1350.1057148243976,-620.6596548600833,0,0,0,0,YTD,,1.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9203.66892485127,-7.151769863742629,,-9210.820694715017
